s,N,a,ratio_neg,ratio_pos,,
0.182321557,100000,2,0.987851046,1.010959198,,
0.182321557,100,3,1.043112911,1.065447234,,
0.182321557,200,3,0.97619602,1.041927874,,
0.182321557,300,3,0.995104718,1.078743934,,
0.182321557,500,3,1.016363875,1.01334064,,
0.182321557,700,3,1.012358818,1.015977585,,
0.182321557,1000,3,1.002000382,1.011582002,,
0.182321557,2000,3,1.005468418,0.978970949,,
0.182321557,3000,3,1.001051605,1.012567678,,
0.182321557,5000,3,1.01474544,0.998296284,,
0.182321557,7000,3,0.978347566,1.01669725,,
0.182321557,10000,3,0.999425596,0.98469548,,
0.182321557,50000,3,1.003439155,0.982437235,,
0.182321557,100000,3,0.986763183,1.011304251,,
0.182321557,100,4,1.058358121,1.087845631,,
0.182321557,200,4,0.994957156,1.05986943,,
0.182321557,300,4,1.007440839,1.090506671,,
0.182321557,500,4,1.01246294,0.994736906,,
0.182321557,700,4,1.002043228,1.02691623,,
0.182321557,1000,4,1.012858577,1.020083589,,
0.182321557,2000,4,1.017927225,1.003818109,,
0.182321557,3000,4,1.006180901,1.020355955,,
0.182321557,5000,4,1.001027224,1.01663213,,
0.182321557,7000,4,0.975720644,1.029266713,,
0.182321557,10000,4,1.001456877,0.996042206,,
0.182321557,50000,4,1.001108893,0.980736371,,
0.182321557,100000,4,0.989132927,1.001144488,,
0.182321557,100,5,1.080533078,1.115012175,,
0.182321557,200,5,1.021403402,1.064958039,,
0.182321557,300,5,1.014333224,1.088023121,,
0.182321557,500,5,1.019515763,1.013472881,,
0.182321557,700,5,1.001224659,1.038795757,,
0.182321557,1000,5,1.019176881,1.029147407,,
0.182321557,2000,5,1.035470814,1.013208029,,
0.182321557,3000,5,1.005217696,1.017296156,,
0.182321557,5000,5,1.010625109,1.017588655,,
0.182321557,7000,5,0.980843615,1.050974392,,
0.182321557,10000,5,1.00761766,1.00260663,,
0.182321557,50000,5,0.995991404,0.988931442,,
0.182321557,100000,5,0.981846829,0.991106906,,
0.182321557,100,6,1.100514202,1.133625608,,
0.182321557,200,6,1.046487518,1.09767257,,
0.182321557,300,6,1.027310131,1.105503402,,
0.182321557,500,6,1.036551347,1.043073027,,
0.182321557,700,6,1.015385841,1.065538749,,
0.182321557,1000,6,1.02204017,1.037209567,,
0.182321557,2000,6,1.048230357,1.004116581,,
0.182321557,3000,6,1.00567204,1.012964707,,
0.182321557,5000,6,1.016204004,1.017778455,,
0.182321557,7000,6,0.990724943,1.065435267,,
0.182321557,10000,6,1.008392566,1.006920283,,
0.182321557,50000,6,0.989315672,0.984609167,,
0.182321557,100000,6,0.986306993,0.982414711,,
0.182321557,100,7,1.110995243,1.172171522,,
0.182321557,200,7,1.044468081,1.12114292,,
0.182321557,300,7,1.038620289,1.112001813,,
0.182321557,500,7,1.03981845,1.077884592,,
0.182321557,700,7,1.029960055,1.092667398,,
0.182321557,1000,7,1.032674885,1.051154713,,
0.182321557,2000,7,1.057527937,1.016773341,,
0.182321557,3000,7,1.024445297,1.015340936,,
0.182321557,5000,7,1.016897272,1.031007735,,
0.182321557,7000,7,0.98981951,1.055320667,,
0.182321557,10000,7,1.01641577,1.00272071,,
0.182321557,50000,7,0.981475079,0.980338681,,
0.182321557,100000,7,0.995504725,0.995693496,,
0.262364264,100,1,0.963653853,1.034841614,,
0.262364264,200,1,1.002617717,1.003215163,,
0.262364264,300,1,0.932885185,1.020929506,,
0.262364264,500,1,0.975842296,1.026808007,,
0.262364264,700,1,0.996541101,1.003065911,,
0.262364264,1000,1,0.981050687,0.998131922,,
